study_hours_per_week,books_read_year,extracurricular_participation,sleep_hours_per_night,junk_food_consumption_per_week,commute_time_to_school_min,study_hours_with_assistance,sport,anxiety_level_test,final_grade
18.065559820753517,93,No,8.523187881175716,0,1,7,Basketball,2,52.62
34.2691978602359,19,No,9.644919702005812,7,5,29,Swimming,1,59.9
37.76379143721458,76,No,4.37782911732374,11,13,13,Basketball,3,81.21
13.437846135157354,2,No,4.644967617406266,10,2,47,Baseball,2,30.57
22.427779255027204,37,No,4.486873214438246,1,10,45,Basketball,1,68.09
3.8022614733025772,11,No,7.385202523719283,1,14,8,Swimming,3,17.69
8.018761910654359,35,No,4.3347835590634745,1,15,59,Lacrosse,1,49.5
16.538630668406405,17,No,9.96865013465061,7,11,59,Soccer,0,42.22
8.248108636071155,37,Yes,5.784001448307823,20,10,25,Volleyball,2,38.86
35.0624196315487,41,No,11.513699946319669,6,14,15,Basketball,4,72.16
6.331450242363923,30,No,7.891230040776891,15,2,12,Football,4,28.87
18.22643286212368,65,No,7.570606019537613,8,13,53,Swimming,4,42.56
24.227969618395026,91,Yes,10.244309541116003,15,18,35,Football,2,100.0
27.674556326433777,40,No,9.70523187114393,1,13,8,Basketball,2,61.42
15.322774789060269,19,Yes,8.858472327585144,2,0,58,Baseball,2,53.09
34.763962748989144,27,No,11.48117365000296,1,10,41,Athletics,4,76.67
22.73276604311702,85,Yes,7.378074087896616,18,14,46,Baseball,1,74.97
17.58031121790207,57,Yes,10.468253406178292,16,0,53,Soccer,4,68.67
2.6896253620814647,45,No,7.040743565966548,19,15,51,Football,1,38.84
18.587578737806602,14,Yes,10.706765394368839,20,5,12,Baseball,3,63.01
32.82943363262921,44,Yes,6.075797031727749,11,11,40,Soccer,3,79.83
24.58164072885262,27,No,6.31413658268826,10,19,46,Soccer,0,63.02
33.286498149164736,94,No,9.422956272139633,19,19,14,Volleyball,0,99.6
19.760466823972223,88,No,5.701706359614371,18,12,19,Baseball,1,53.92
4.738468203779274,8,No,5.83323349620343,5,9,27,Football,1,17.92
0.5455938334352428,51,No,6.442099432139318,9,3,55,Soccer,3,33.93
12.128781868743648,22,No,9.431430157283007,13,4,53,Basketball,0,35.99
27.9196188599117,41,Yes,11.115104739385856,0,8,52,Football,0,82.52
